# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang			Español
dialog_11khz			11 Khz Calidad Baja
dialog_22khz			22 Khz Calidad Media
dialog_44khz			44 Khz Calidad Alta
dialog_numchannels			Nº Canales
dialog_8channels			8 Canales
dialog_16channels			16 Canales
dialog_32channels			32 Canales
dialog_64channels			64 Canales
dialog_memoryusage			Uso de Memoria
dialog_swapstereo			Intercambiar en Estéreo
dialog_hw3dsound			Sonido Hardware3d
dialog_realtimeeffects			Efectos en Tiempo Real
dialog_mastervolume			Volumen General
dialog_cpuusage			Uso de CPU
dialog_cpuusageunknown			Uso de CPU desconocido

dialog_screenoptions			Pantalla
dialog_refreshrate			Frecuencia
dialog_windowed			Modo Ventana
dialog_windowedmode			(modo ventana)
dialog_fullscreen			Pantalla Completa
dialog_resolution			Resolución
dialog_colourdepth			Color
dialog_colourdepth_16			16 bits
dialog_colourdepth_24			24 bits
dialog_colourdepth_32			32 bits
dialog_colourdepth_X			*C bits
# C = Color Depth
dialog_zbufferdepth			Z Buffer
dialog_refreshrate_X			*R Hz
# R = Refresh Rate
dialog_resolution_W_H			*W x *H
# W = Screen Width, H = Screen Height
dialog_antialias                    Utilizar Suavizado

dialog_networkoptions			Red
dialog_networkclientport			Puerto del Cliente
dialog_networkserverport			Puerto del Servidor
dialog_networkmetaserverport			Puerto del MetaServidor
dialog_networkuseportforwarding			Redireccionamiento de Puertos
dialog_networktracksync			Seguir Errores de Sincronización
dialog_networktracksynctooltip			Habilita esta opción para que con cada cuadro se almacene abundante información que servirá de ayuda para el seguimiento de los Errores de Sincronización.\nAfectará al rendimiento de forma significativa.
dialog_networkportforwardtooltip			Habilita esta opción si estás teniendo problemas al alojar o conectarte a partidas.\nTienes que habilitar de forma manual el redireccionamiento de puertos para los datos UDP entrantes en los puertos anteriores de tu NAT.
dialog_networkfailed			Error
dialog_networkfailedgamerunning			No puedes modificar la configuración de red\nmientras esté teniendo lugar una partida.
dialog_networksuccess			Operación Realizada Con Éxito
dialog_networksuccessfull			La configuración de red\nha sido actualizada.
dialog_networkporttooltip			Número de puerto que se utilizará para la comunicación. Los números de puerto válidos han de ser mayores de 1024 y menores de 65535.\nConfigúralo como puerto 0 para permitir que el sistema escoja por ti un puerto libre.
dialog_troubleshooting			¿Tienes problemas? Pulsa aquí...
dialog_troubleshooting_tooltip			Pulsa aquí para visitar nuestro sitio web dedicado a la resolución de problemas en el que te ayudaremos a diagnosticar cualquier complicación relacionada con la red.
dialog_no_change_while_in_game_1			No puedes modificar la configuración de red
dialog_no_change_while_in_game_2			mientras haya una partida en progreso

dialog_authoptions			Autenticación
dialog_paste			Pegar
dialog_paste_tooltip			Pegar clave del portapapeles
dialog_auth_failed			ERROR en la Autenticación
dialog_bad_key_title			ERROR EN LA AUTENTICACIÓN
dialog_authkey_not_found			no se ha encontrado la clave de autenticación
dialog_meta_server_details			\n\nPor favor, visita esta url para activar tu clave:\nMETASERVER.INTROVERSION.CO.UK
dialog_not_permitted_start_game			No puedes iniciar una nueva partida\nporque no ha sido posible autenticar tu clave.\n\n\nCLAVE  : *K\nERROR: *E\n*M
# K = Auth Key, E = Error Message, M = Message
dialog_not_permitted_join_game			No puedes unirte a una partida\nporque no ha sido posible autenticar tu clave.\n\nCLAVE : *K\nERROR: *E\n
# K = Auth Key, E = Error Message
dialog_auth_error			Error de Autenticación\n*E\n\nClave: *K\n
# K = Auth Key, E = Error Message
dialog_type_authkey_or_demo_1			Por favor escribe tu Clave de Autenticación
dialog_type_authkey_or_demo_2			o pulsa en Jugar a la Demo
dialog_auth_status			ESTADO DE AUTENTICACIÓN
dialog_auth_status_unknown			DESCONOCIDO
dialog_auth_status_checking			COMPROBANDO...
dialog_auth_status_demo_user			USUARIO DEMO
dialog_may_play_as_demo_user			Puedes jugar como un USUARIO DEMO si así lo deseas.
dialog_cannot_use_mac_key_on_pc     No puedes utilizar una clave para Mac en la versión para PC.
dialog_cannot_use_pc_key_on_mac     No puedes utilizar una clave para PC en la versión para Mac.

dialog_auth_wrong_platform          Plataforma incorrecta
dialog_auth_key_dead                Clave no utilizable
dialog_auth_version_not_found			Versión no encontrada
dialog_auth_key_inactive			Clave inactiva
dialog_auth_version_revoked			Versión suspendida
dialog_auth_key_not_found			Clave no encontrada
dialog_auth_key_revoked			Clave suspendida
dialog_auth_key_banned			Clave prohibida
dialog_auth_key_invalid			Clave no válida
dialog_auth_unknown			Desconocido
dialog_auth_accepted			Aceptado

dialog_controloptions			Otros
dialog_sidescrolling			Desplazar Ratón
dialog_zoomspeed                    Velocidad de Zoom
dialog_camdragging			Arrastrar Cámara
dialog_tooltips			Información Herramientas
dialog_popupscale			Escala
dialog_panickey			Tecla de Pánico
dialog_language			Idioma 
dialog_restart_required_language			Por favor, reinicia Defcon para que la configuración\ndel idioma tenga efecto.
dialog_keyboardlayout               Distribución del Teclado

dialog_zoomnormal                   Normal
dialog_zoomslow                     Lento

dialog_lobby			INICIO
dialog_lobby_team_options			Opciones de Equipo
dialog_lobby_advanced_options			Opciones Avanzadas
dialog_rename			Cambiar Nombre
dialog_territories			Territorios
dialog_alliance			Alianza
dialog_requestai			Añadir Jugador No Humano
dialog_chat			Chat
dialog_ready			Preparado
dialog_gamestart			Inicio en *X segundos
# X = Countdown in secondes before the game start
dialog_gamestart_whenready			Todos los jugadores: pulsad 'PREPARADO' para comenzar
dialog_gamestart_youready			Pulsa 'PREPARADO' para comenzar
dialog_kick			Expulsar
dialog_spectate			Observar
dialog_join_alliance			Unirse a *A
# A = Alliance Name
dialog_closed			cerrado
dialog_demo_user			USUARIO DEMO
dialog_number_players_max			Máximo de *N jugadores
# N = Number Players Max
dialog_click_to_open			pulsar para abrir
dialog_click_to_close			pulsar para cerrar
dialog_awaiting_player			otro jugador...
dialog_cpu_team_name			[CPU] *T
# T = Team Name
dialog_joining			[Uniéndose...]
dialog_demo_team_name			[DEMO] *T
# T = Team Name
dialog_demo_too_many_players			No puedes tener todos estos jugadores en tu partida\nporque estás utilizando la versión DEMO.\n\nSi deseas sumergirte en la locura multijugador para seis participantes primero tendrás que comprar el juego completo.\n\nTamaño Máximo de Partida Demo = *N Jugadores
# N = Max Demo Game Size
dialog_edited			editado
dialog_locked			bloqueado
dialog_click_select_territory			SELECCIONA TU TERRITORIO (*T/*M)
# T = Number of Territories, M = Maximum number of Territories
dialog_random_territories			TERRITORIOS ALEATORIOS
dialog_option_locked_demo_1			Esta opción está BLOQUEADA
dialog_option_locked_demo_2			(Jugador DEMO).
dialog_option_locked_game_mode_1			Esta opción se encuentra BLOQUEADA
dialog_option_locked_game_mode_2			debido al modo de juego actual.
dialog_spectators_number			ESPECTADORES (*N MÁX)
# N = Maximum number of Spectators
dialog_awaiting_spectators			esperando espectadores...
dialog_internet_identity			ID en Internet:
dialog_internet_identity_details			*I : *P
# I = Ip Address, P = port
dialog_lan_identity			ID en Red Local:
dialog_server_identity			ID en el Servidor:
dialog_lobby_defcon			DEFCOn
dialog_created_by_introversion      CREADO  POR  INTROVERSION  SOFTWARE
dialog_lobby_version			VERSIÓN:
dialog_lobby_have_latest_version			Tienes la versión más reciente.
dialog_lobby_newer_version			Está disponible una versión más reciente : *V
# V = Newer Version
dialog_lobby_click_to_download			Pulsa aquí para descargarla
dialog_lobby_demo_limitations			LIMITACIONES DE LA VERSIÓN DEMO
dialog_lobby_max_demo_game_size			Tamaño Máximo de Partida Demo
dialog_lobby_max_demo_players			Máximo Jugadores Demo en una partida
dialog_lobby_demo_servers_permitted			Servidores Demo permitidos
dialog_lobby_number_players			*P Jugadores
# P = Number of Players
dialog_lobby_metaserver_time			HORA DEL METASERVIDOR
dialog_lobby_time_gmt			*H:*M*A (GMT)
# H = Hours, M = Minutes, A = am/pm
dialog_lobby_test_hours_start_at			TUS HORAS DE PRUEBA COMIENZAN A LAS
dialog_lobby_scheduled_test_hour			HORA DE PRUEBA PROGRAMADA
dialog_lobby_occurring_now			ACTUALMENTE EN PROGRESO
dialog_lobby_next_test_hour_begins			LA PRÓXIMA HORA DE PRUEBA COMIENZA EN
dialog_lobby_minutes			*M MINUTOS
# M = Minutes
dialog_lobby_hours_minutes			*H HORAS *M MINUTOS
# H = Hours, M = Minutes
dialog_lobby_authentication			AUTENTICACIÓN : *A
# A = Authentication Status
dialog_lobby_client_ident			IDENTIDAD DEL CLIENTE : *I:*P
# I = Ip Address, P = port
dialog_lobby_client_ident_unknown			IDENTIDAD DEL CLIENTE : DESCONOCIDA
dialog_lobby_server_ident			IDENTIDAD DEL SERVIDOR : *I:*P
# I = Ip Address, P = port
dialog_lobby_server_ident_unknown			IDENTIDAD DEL SERVIDOR : DESCONOCIDA

dialog_alliance_0			Rojo
dialog_alliance_1			Verde
dialog_alliance_2			Azul
dialog_alliance_3			Amarillo
dialog_alliance_4			Naranja
dialog_alliance_5			Turquesa

dialog_alliances			Alianzas
dialog_declarewar			¿Romper el Alto el Fuego con *T?
dialog_ceasefire			¿Alto el Fuego con *T?
dialog_ceasefire_title			Alto el Fuego
dialog_shareradar			Compartir Radar
dialog_alliance_leave			Abandonar la Alianza
dialog_alliance_kick			Expulsar a este jugador de la Alianza
dialog_alliance_join			Solicitar Unirse a esta Alianza
dialog_shareradarbegin			¿Compartir Radar con *T?
dialog_shareradarend			¿Dejar de compartir Radar con *T?
dialog_vote			Votar
dialog_abstain			Abstenerse
dialog_you_requested_alliance_1			Has solicitado
dialog_you_requested_alliance_2			unirte a la Alianza *A
# A = Alliance
dialog_requested_alliance_1			*T ha solicitado
# T = Team Name
dialog_requested_alliance_2			unirse a tu Alianza
dialog_you_requested_kick_1			Has solicitado
dialog_you_requested_kick_2			expulsar a *T
# T = Team Name
dialog_requested_kick_1			*T ha solicitado
# T = Team Name
dialog_requested_kick_2			expulsar a *T
# T = Team Name
dialog_vote_yes			SÍ
dialog_vote_no			NO
dialog_vote_abstain			ABSTENERSE
dialog_vote_seconds_to_vote			*S segundos para votar
# S = Seconds to vote
dialog_vote_number_votes_required			Se necesitan *V votos
# V = Number of Vote Required
dialog_vote_succeeded			ÉXITO
dialog_vote_failed			FRACASO
dialog_alliance_player			Jugador
dialog_alliance_receiving			Recibiendo
dialog_alliance_radar			Radar
dialog_alliance_sending			Enviando
dialog_alliance_cease			Alto el
dialog_alliance_fire			Fuego

dialog_placeunit			Desplegar Unidad
dialog_createfleet			Crear Flota

dialog_credits_1			*C Créditos
dialog_credits_2			Restantes
dialog_fleets			Flotas
dialog_units			Unidades
dialog_place_fleet			Desplegar flota

dialog_paused			PAUSA
dialog_gameover			FIN DE PARTIDA
dialog_saved_screenshot			/me ha guardado una captura de la pantalla
# /me will be replaced by the Team Name
dialog_steam_authentication_failed			ERROR en la Autenticación de Steam\n\n
dialog_steam_logged_in_elsewhere			Para solucionar este problema deberás iniciar sesión en Steam de nuevo.\nSal de Defcon, pulsa en el Menú de Archivo dentro de Steam, y después en 'Cambiar Usuario'.\nIntroduce tu nombre de usuario y la contraseña para iniciar sesión de nuevo.\n\n
dialog_steam_error			Error en Steam
dialog_synchronisation_error			ERROR DE SINCRONIZACIÓN
dialog_connection_problem_seconds			PROBLEMA CON LA CONEXIÓN (*S SEGUNDOS)
# S = Seconds of Estimated Latency
dialog_high_latency			Latencia Alta
dialog_high_packet_loss			Pérdida de Paquetes Elevada
dialog_defcon_x_in_x_time			DEFCON *D DENTRO DE *M:*S
# D = Defcon level, M = Minutes, S = Seconds
dialog_time_remaining			FALTAN *M:*S
# M = Minutes, S = Seconds
dialog_autocam			CÁMARA AUTOMÁTICA
dialog_non_playable_demo			DEMO NO JUGABLE
dialog_tracking_synchronisation			MONITORIZANDO LA SINCRONIZACIÓN

dialog_steam_authentication			Autenticación en Steam
dialog_steam_play_defcon			Jugar a Defcon
dialog_steam_auth_status			ESTADO DE LA AUTENTICACIÓN EN STEAM
dialog_steam_welcome_to_defcon			¡Bienvenido a Defcon!
dialog_steam_may_play_demo			Puedes jugar a la DEMO de Defcon
dialog_steam_unable_to_auth			No hemos podido autenticarte.
dialog_steam_auth_progress			Autenticación en Steam : *P
# P = Steam Authentication Progress

dialog_steam_error_edenysteamvalidationstalled			Error al verificar el Ticket del Identificador de Usuario de STEAM (el servidor no ha podido contactar con el servidor de autenticación).\n
dialog_steam_error_edenynotloggedon			Inicio de Sesión en Steam No Válido
dialog_steam_error_edenyloggedinelsewhere			Se ha iniciado sesión en esta cuenta desde otro lugar 
dialog_steam_error_edenynolicense			Esta cuenta Steam no es propietaria de este juego. \nPor favor, inicia sesión en la cuenta Steam correcta.
dialog_steam_error_edenyinvalidversion			Versión de cliente incompatible con el servidor. \nPor favor, sal y reinicia
dialog_steam_error_edenycheater			Esta cuenta está prohibida
dialog_steam_error_edenyunknowntext			El servidor ha interrumpido la conexión con el cliente
dialog_steam_error_edenyincompatibleanticheat			Estás ejecutando una herramienta externa que es incompatible con servidores seguros.
dialog_steam_error_edenymemorycorruption			Se ha detectado un fallo en la memoria.
dialog_steam_error_edenyincompatiblesoftware			Estás ejecutando un software que no es compatible con servidores seguros.
dialog_steam_error_edenygeneric			El servidor ha interrumpido la conexión con el cliente
dialog_steam_error_unknown			Desconocido

dialog_steam_progress_not_started			No Iniciado
dialog_steam_progress_started			Iniciado
dialog_steam_progress_starting_steam			Iniciando Steam
dialog_steam_progress_starting_steam_api			Iniciando API de Steam
dialog_steam_progress_logging_on_to_steam			Iniciando Sesión en Steam
dialog_steam_progress_getting_steam_id			Obteniendo el Id. de Steam
dialog_steam_progress_getting_encryption_details			Obteniendo Detalles de Cifrado
dialog_steam_progress_getting_steam2_auth			Obteniendo Autenticación Steam2
dialog_steam_progress_getting_steam3_auth			Obteniendo Autenticación Steam3
dialog_steam_progress_requesting_authentication			Solicitando Autenticación
dialog_steam_progress_success			Éxito
dialog_steam_progress_success_demo			Éxito (Demo)
dialog_steam_progress_failed			Error

dialog_warning			Atención

dialog_enterpassword			Introduce Contraseña del Servidor
dialog_setpassword			Establece la Contraseña del Servidor (déjalo en blanco para que no haya contraseña)

dialog_resync_title			Resincronizar
dialog_resync_button			Resincronizar
dialog_resync_caption			Tu partida ha perdido la Sincronización con los demás jugadores.\n\nPulsa el botón Resincronizar para tratar de solucionar este error.\n\nEs posible que tarde varios minutos.

team_unassigned			Sin asignar
team_ai			Jugador No Humano
team_local			Jugador Local
team_remote			Jugador Remoto

team_name_not_set			[nombre-no-establecido]

dialog_metaserver_failedtitle			NO HA SIDO POSIBLE CONECTAR CON EL METASERVIDOR
dialog_metaserver_failedconnect			Defcon no ha podido conectar con el MetaServidor.\nEsto significa que no podrás recuperar los listados del servidor,\nni añadir a la lista tu propio servidor de juego.\n\nComprueba que la conexión a internet está funcionando y prueba a deshabilitar\nlos Firewalls y el resto de Herramientas de red que puedas estar ejecutando.\n\nEs necesario que Defcon disponga de acceso a los siguientes puertos:\n5009 UDP (saliente)\n5009 UDP (entrante)\n\nPara recibir más ayuda consulta nuestra guía de resolución de problemas:\nhttp://www.everybody-dies.com/support/

dialog_client_failedtitle			ERROR DE RED
dialog_client_failedconnect			Defcon no ha podido abrir un Oyente de Red para el Cliente.\nEsto significa que no podrás participar en ninguna partida,\nni tampoco crearla.\n\nPrueba a deshabilitar\nlos Firewalls y el resto de Herramientas de red que puedas estar ejecutando.\n\nPara recibir más ayuda consulta nuestra guía de resolución de problemas:\n

dialog_server_failedtitle			NO HA SIDO POSIBLE INICIAR EL SERVIDOR
dialog_server_failedconnect			Defcon no ha podido iniciar un Servidor.\nEsto se debe a que las Conexiones de Red requeridas no se encuentran disponibles.\n\nPrueba a deshabilitar\nlos Firewalls y las otras Herramientas de red que puedas estar ejecutando.\n\nPara recibir más ayuda consulta nuestra guía de resolución de problemas:\n

dialog_ambxsupport			Soporte amBX
dialog_ambxsupport_tooltip			Activa esta opción sólo si tienes instalado hardware AMBX.  Para recibir más información visita www.ambx.com.

dialog_screen_error_title			Error de Pantalla
dialog_screen_error_caption			No se ha podido establecer la configuración de pantalla de\n*W x *H, color de *C, *S que has solicitado.\n\nSe ha restaurado la configuración de seguridad\n*w x *h, color de *c, *s.
# W = Screen Width, H = Screen Height, C = Color Depth (ie: 24 bit), S = Windowed/Fullscreen
# The four other are the safe version of their capitalized counterparts (ie: w, h ,c ,s)

dialog_restart_required_title			Es Necesario Reiniciar
dialog_restart_required_caption			Por favor, reinicia Defcon para que la configuración\nde la pantalla tenga efecto.

dialog_connection_status			Estado de la Conexión
dialog_abort_current_connection			Anular el intento de conexión actual
dialog_state_disconnected			DESCONECTADO
dialog_state_connecting			CONECTANDO...
dialog_state_connected			CONECTADO
dialog_state_attempts			INTENTOS : *A
# A = Number of Connection Attempts
dialog_state_receiving			RECIBIENDO...
dialog_state_received			RECIBIDO
dialog_state_synchronising			SINCRONIZANDO...
dialog_state_synchronised			SINCRONIZADO
dialog_state_time_remaining			TIEMPO RESTANTE : *M.*S
# M = Minutes, S = Seconds

dialog_toolbar_units			unidades
dialog_toolbar_allies			aliados
dialog_toolbar_comms			com.
dialog_toolbar_scores			puntuaciones
dialog_toolbar_radar			radar
dialog_toolbar_people			población
dialog_toolbar_orders			órdenes
dialog_toolbar_territory			territorio
dialog_toolbar_nukes			bombas
dialog_toolbar_white_board			pizarra
dialog_toolbar_info			información

dialog_mod			Mods
dialog_mod_commit_title			CARGANDO MODS...
dialog_mod_commit_mod_path			Estableciendo la ruta del MOD...\n
dialog_mod_commit_activating_mod			Activando el mod '*N *V'\n
# N = MOD name, V = version
dialog_mod_commit_all_mods_off			Todos los MODs han sido desactivados
dialog_mod_error			ERROR
dialog_mod_no_arrangement_change			No puedes cambiar el orden de mods CRÍTICOS\nmientras haya una partida en progreso.
dialog_mod_not_installed			(NO INSTALADO)
dialog_mod_active			activo
dialog_mod_clear_all			Borrar Todos
dialog_mod_deactivate			Desactivar
dialog_mod_activate			Activar
dialog_mod_click_download_mods			Pulsa aquí para descargar más mods
dialog_mod_click_here			Pulsa aquí
dialog_mod_move_up			Subir
dialog_mod_move_down			Bajar
dialog_mod_no_mod_selected			Ningún mod seleccionado
dialog_mod_screenshot_not_found			Captura de pantalla no encontrada
dialog_mod_install_dir			Directorio de Instalación
dialog_mod_author			Autor
dialog_mod_website			Sitio web
dialog_mod_required_all_players			Requerido por TODOS LOS JUGADORES
dialog_error_mod_path_title			Error al establecer la ruta del MOD
dialog_error_mod_path_caption			Error al establecer la ruta del MOD.\nEste servidor está ejecutando un MOD que no tienes instalado.\n\nEl servidor está ejecutando los siguientes mods:\n

dialog_demo			Demo
dialog_welcome_to_demo			BIENVENIDO A LA DEMO
dialog_play_demo			Jugar a la Demo
dialog_buy_now			Comprar Ahora
dialog_buy_now_caps			COMPRAR AHORA
dialog_exit_game_time			Salir del Juego (*T)
# T = Remaining time
dialog_exit_game			Salir del Juego
dialog_welcome_to_demo_defcon			Bienvenido a la DEMO de Defcon.
dialog_demo_player_limited			Puedes crear una partida multijugador\npero tendrás un límite máximo de *P jugadores.\nEn el JUEGO COMPLETO puedes contar con hasta 6 jugadores.\n\n
# P = Number of Players
dialog_demo_player_join_limited			Puedes unirte a una partida multijugador que ya exista\npero sólo en el caso de que haya menos de *P jugadores DEMO\nconectados.
# P = Number of Players
dialog_demo_spectate_any_game			\n\nPuedes ser espectador de cualquier partida.

dialog_server_browser			Explorador de Servidores
dialog_server_password			Contraseña del Servidor
dialog_enter_ip_manually			Introducir IP Manualmente
dialog_filters			Filtros
dialog_server_details			Servidor *I: *P
# I = Ip Address, P = port
dialog_server_version_mismatch			No puedes unirte a este servidor de juego.\n\nEstán utilizando una versión diferente a la tuya\ny las versiones no son compatibles.\n\n\nTu versión : *V\nSu versión : *T
# V = Your version, T = Their version
dialog_cannot_join_server			No Es Posible Unirse al Servidor
dialog_no_join_mods_not_installed			No puedes unirte a este servidor de juego.\n\nEstán ejecutando MODS que tú no tienes instalados.\nSe necesitan los siguientes MODS:\n\n*R\n\nPuedes descargar MODs desde\n
# R = Reason
dialog_no_join_own_game			No puedes unirte a este servidor de juego.\n\nEste es tu propio servidor de juego y ya\nestás conectado a él.
dialog_requesting			Solicitando...
dialog_refresh_number_server			Actualizar (*S)
# S = Number of Servers
dialog_server_demo_restricted			Este servidor está PROHIBIDO A DEMOS.\n\nQuiere decir que ya hay conectados a esta partida demasiados jugadores que estén utilizando la Demo, o que está ejecutándose en un modo de juego avanzado.\n\nSi deseas participar en partidas de este tamaño tendrás que comprar el juego completo.\n\nNúmero máximo de jugadores demo por partida: *N
# N = Max Demo Game Size
dialog_number_server_found			Se ha(n) encontrado *N servidor(es)
# N = Number Server Found
dialog_retrieving_server_list			Recuperando Lista de Servidores...
dialog_net_location_lan			*I:*P [LAN]
# I = Ip Address, P = port
dialog_game_ended			(finalizada)
dialog_demo_game_mode			demo
dialog_mod_base_number_more			*M (*N más)
# M = Mod base, N = Number of Remaining Mods
dialog_server_name_incompatible			*S [INCOMPATIBLE]
# S = Server Name
dialog_server_name_mods_required			*S [MODS REQUERIDOS]
# S = Server Name
dialog_server_name_your_server			*S [TU SERVIDOR]
# S = Server Name
dialog_server_name_demo_restricted			*S [PROHIBIDO A DEMOS]
# S = Server Name
dialog_server_name_full			*S [COMPLETO]
# S = Server Name
dialog_server_name_not_responding			*S [NO RESPONDE]
# S = Server Name
dialog_connected_recently			(Conectado Recientemente)
dialog_server_browser_teams			Equipos
dialog_server_browser_specs			Especificaciones
dialog_server_browser_time			Tiempo
dialog_server_browser_mods			MODs
dialog_server_browser_game_mode			Modo de Juego
dialog_server_browser_server_name			Nombre del Servidor
dialog_server_browser_list			Lista de
dialog_filter_all_games			Todas las Partidas
dialog_filter_games_in_lobby			Partidas en Inicio
dialog_filter_games_in_progress			Partidas en Progreso
dialog_filter_recent_servers			Servidores Recientes
dialog_filter_lan_games			Partidas en LAN
dialog_filter_enter_ip_manually			Introducir IP Manualmente
dialog_join			Unirse
dialog_enter_ip			[introducir ip]
dialog_connect			Conectar
dialog_server_ip			IP del Servidor
dialog_server_port			Puerto del Servidor
dialog_single_player_games			Partidas de Un Jugador
dialog_demo_games			Partidas Demo
dialog_default_named_servers			Servidores con Nombres Por Defecto
dialog_show_single_player_games			Partidas de Un Jugador
dialog_show_demo_games			Partidas Demo
dialog_show_default_named_games			Partidas con nombres por defecto
dialog_server_name			Nombre
dialog_server_identity_address			Identidad
dialog_server_game_name			Partida
dialog_server_game_mode			Modo Juego
dialog_server_score_mode			Modo Puntuación
dialog_server_started			[iniciada]
dialog_server_ended			[finalizada]
dialog_server_not_yet_started			[aún no iniciada]
dialog_spectators			Espectadores
dialog_server_game_time			Tiempo de Juego
dialog_server_scores			Puntuaciones
dialog_retrieving_scores			Recuperando puntuaciones...

dialog_disconnected			Desconectado
dialog_disconnect_client_leave			Has abandonado la partida
dialog_disconnect_server_shutdown			El servidor se ha cerrado
dialog_disconnect_invalid_key			Estás utilizando una clave no válida
dialog_disconnect_duplicate_key			Estás utilizando una clave duplicada
dialog_disconnect_key_auth_failed			Error en la autenticación de la clave
dialog_disconnect_bad_password			Se Ha Introducido una Contraseña No Válida
dialog_disconnect_game_full			La partida ya está llena
dialog_disconnect_kicked_from_game			Expulsado por el Servidor
dialog_disconnect_demo_full			Ya Hay Demasiados Jugadores Demo
dialog_disconnect_unknown			Desconocido

dialog_chat_public			Público
dialog_chat_alliance			Alianza
dialog_chat_spectators			Espectadores
dialog_chat_channel_public			[público]
dialog_chat_channel_alliance			[alianza]
dialog_chat_channel_spectators			[espectadores]
dialog_chat_channel_private			[privado]
dialog_chat_channel_to_team_name			[a *T]
# T = Team Name

dialog_white_board_draw_erase			dibujar
dialog_white_board_clear_all			borrar todo
dialog_white_board_show_all			mostrar todo

dialog_worldstatus_defcon			DEFCON
dialog_worldstatus_defcon_x			DEFCON *D
# D = Defcon level
dialog_worldstatus_time_remain_hms			Tiempo Restante : *Hh *Mm *Ss
# H = Hours, M = Minutes, S = Seconds
dialog_worldstatus_time_remain_ms			Tiempo Restante : *Mm *Ss
# M = Minutes, S = Seconds
dialog_worldstatus_show_stats			Mostrar Estadísticas
dialog_worldstatus_scoremode			Modo
dialog_worldstatus_cpu_team_name			[CPU]*T
# T = Team Name
dialog_worldstatus_left_team_name			[ABANDONÓ]*T
# T = Team Name
dialog_worldstatus_demo_team_name			[DEMO]*T
# T = Team Name
