Cambridge	                             United Kingdom                           6.166700      35.566700     106673        0
Gloucester                               United Kingdom                           6.666700      36.366699     108150        0
Hastings/Bexhill                         United Kingdom                           5.400000      36.183300     112080        0
Slough                                   United Kingdom                           13.250000     -8.833300     106882        0
Swindon                                  United Kingdom                           2.516700      6.400000      128492        0
Bobo Dioulasso                           Burkina Faso                             -4.300000     11.183300     173925        0
Ouagadougou                              Burkina Faso                             -2.333300     12.333300     307937        1
Bujumbura                                Burundi                                  29.316700     -3.366700     215243        1
Douala                                   Cameroon                                 9.716700      4.066700      1029731       0
Maraua                                   Cameroon                                 14.333300     10.583300     250000        0
Nkongsamba                               Cameroon                                 9.883300      4.983300      250000        0
Yaounde                                  Cameroon                                 11.516700     3.850000      653670        1
Bangui                                   Central African Republic                 18.616699     4.383300      473817        1
Ndjamena                                 Chad                                     14.983300     12.166700     179000        1
Moroni                                   Comoros                                  43.266701     -11.666700    17267         1
Brazzaville                              Congo                                    15.233300     -4.233300     596200        0
Point Noire                              Congo                                    11.883300     -4.766700     298014        0
Abidjan                                  Cote d'lvoire                            -4.016700     5.316700      250000        1
Bouake                                   Cote d'lvoire                            -5.000000     7.700000      250000        0
Alexandria                               Egypt                                    29.916700     31.216700     2893000       0
Assyut                                   Egypt                                    31.116699     27.233299     291000        0
Aswan                                    Egypt                                    32.933300     24.083300     196000        0
Beni-Suef                                Egypt                                    31.083300     29.083300     163000        0
Cairo                                    Egypt                                    31.250000     30.049999     6052836       1
Damanhur                                 Egypt                                    30.466700     31.049999     226000        0
El-Mahalla El-Kubra                      Egypt                                    31.000000     31.000000     385000        0
Faiyum                                   Egypt                                    30.833300     29.316700     227000        0
Giza                                     Egypt                                    30.850000     30.483299     1857508       0
Ismailia                                 Egypt                                    32.250000     30.600000     236000        0
Kafr-El-Dwar                             Egypt                                    30.133301     31.133301     194000        0
Kena                                     Egypt                                    32.700001     26.133301     142000        0
Mansura                                  Egypt                                    31.383301     31.049999     358000        0
Shebin-El-Kom                            Egypt                                    31.016701     30.549999     136000        0
